date,Collector_Crypt,Phygitals,Courtyard,Emporium
2025-01-05,1.5,0.0,9.0,0.0
2025-01-12,1.2,0.0,8.5,0.0
2025-01-19,2.0,0.0,9.0,0.0
2025-01-26,2.5,0.0,9.5,0.0
2025-02-02,3.0,0.0,9.5,0.0
2025-02-09,3.5,0.0,10.5,0.0
2025-02-16,3.0,0.5,9.0,0.0
2025-02-23,4.0,0.0,10.0,0.0
2025-03-02,4.5,0.8,11.0,0.0
2025-03-09,4.0,0.0,9.5,0.3
2025-03-16,5.0,1.5,12.0,0.0
2025-03-23,4.5,0.5,11.0,0.0
2025-03-30,4.0,0.0,10.0,0.0
2025-04-06,5.5,1.0,11.5,0.0
2025-04-13,5.0,0.0,10.5,0.0
2025-04-20,5.5,0.5,11.0,0.0
2025-04-27,6.5,1.5,13.0,0.0
2025-05-04,7.0,1.0,14.0,0.0
2025-05-11,7.5,0.0,13.5,0.0
2025-05-18,6.0,2.0,12.0,0.0
2025-05-25,7.5,2.5,13.5,0.0
2025-06-01,8.0,1.5,17.5,0.0
2025-06-08,6.5,2.0,14.0,0.0
2025-06-15,5.0,0.5,9.0,0.0
2025-06-22,11.5,6.0,12.5,0.3
2025-06-29,4.5,0.5,7.0,0.0
2025-07-06,8.0,2.0,12.5,0.0
2025-07-13,4.0,6.5,5.5,0.0
2025-07-20,6.0,2.0,8.0,0.0
2025-07-27,5.5,1.5,9.0,0.0
2025-08-03,5.0,5.0,7.5,0.0
2025-08-10,9.0,3.0,14.5,0.0
2025-08-17,5.0,4.5,7.0,0.0
2025-08-24,6.5,1.0,9.5,0.0
2025-08-31,6.5,1.0,9.0,0.3
2025-09-07,7.0,0.5,8.0,0.0
2025-09-14,6.5,1.5,9.0,0.0
2025-09-21,5.5,2.0,7.0,0.0
2025-09-28,5.0,1.5,7.5,0.0
2025-10-05,7.0,2.0,8.0,0.0
2025-10-12,9.0,2.5,10.5,0.0
2025-10-19,6.5,1.5,7.0,0.0
2025-10-26,7.5,0.5,7.0,0.0
2025-11-02,14.5,1.0,13.0,0.0
2025-11-09,11.5,0.5,8.0,0.0
2025-11-16,12.0,1.5,10.0,0.0
2025-11-23,14.5,0.5,7.5,0.0
2025-11-30,13.5,1.0,6.0,0.0
2025-12-07,14.0,0.5,5.0,0.0
2025-12-14,16.5,0.5,6.5,0.3
2025-12-21,17.0,1.0,7.0,0.0
2025-12-28,17.0,1.0,8.0,0.0
2026-01-04,14.5,0.5,6.5,0.0
2026-01-11,18.5,1.5,8.5,0.0
2026-01-18,7.0,1.5,9.5,0.0
2026-01-25,7.5,1.0,14.0,0.0
2026-02-01,7.0,0.5,18.5,0.0
2026-02-08,7.5,1.0,22.0,0.0
2026-02-15,6.0,0.5,12.0,0.0
2026-02-22,5.5,0.5,4.5,0.3
2026-03-01,14.0,2.5,10.0,0.0
2026-03-08,14.0,2.0,9.5,0.0
2026-03-15,13.5,2.5,12.5,0.0
2026-03-22,16.5,6.0,13.5,0.0
2026-03-29,18.0,6.5,17.0,0.0
2026-04-05,22.0,1.5,18.5,0.0
2026-04-12,21.5,2.0,22.5,0.0
2026-04-19,6.0,1.5,11.0,0.0
2026-04-26,8.0,1.0,2.5,0.0
