day,dau
2025-11-04,30709
2025-11-05,30158
2025-11-06,29464
2025-11-07,28663
2025-11-08,27814
2025-11-09,26984
2025-11-10,26241
2025-11-11,25642
2025-11-12,25220
2025-11-13,24980
2025-11-14,24900
2025-11-15,24934
2025-11-16,25020
2025-11-17,25093
2025-11-18,25097
2025-11-19,24994
2025-11-20,24770
2025-11-21,24439
2025-11-22,24039
2025-11-23,23621
2025-11-24,23412
2025-11-25,23294
2025-11-26,23303
2025-11-27,23446
2025-11-28,23706
2025-11-29,24040
2025-11-30,24386
2025-12-01,24677
2025-12-02,24851
2025-12-03,24860
2025-12-04,24682
2025-12-05,24325
2025-12-06,23821
2025-12-07,23227
2025-12-08,22608
2025-12-09,22764
2025-12-10,23017
2025-12-11,23398
2025-12-12,23914
2025-12-13,24544
2025-12-14,25246
2025-12-15,25965
2025-12-16,26642
2025-12-17,27231
2025-12-18,27704
2025-12-19,27860
2025-12-20,27923
2025-12-21,27941
2025-12-22,27974
2025-12-23,28089
2025-12-24,28340
2025-12-25,28764
2025-12-26,29371
2025-12-27,30143
2025-12-28,31034
2025-12-29,31984
2025-12-30,32921
2025-12-31,33781
2026-01-01,34515
2026-01-02,35097
2026-01-03,35397
2026-01-04,35576
2026-01-05,35683
2026-01-06,35777
2026-01-07,35916
2026-01-08,36141
2026-01-09,36477
2026-01-10,36918
2026-01-11,37435
2026-01-12,37977
2026-01-13,38484
2026-01-14,38896
2026-01-15,39164
2026-01-16,39264
2026-01-17,39196
2026-01-18,38257
2026-01-19,37232
2026-01-20,36189
2026-01-21,35199
2026-01-22,34322
2026-01-23,33601
2026-01-24,33050
2026-01-25,32657
2026-01-26,32384
2026-01-27,32177
2026-01-28,31972
2026-01-29,31714
2026-01-30,31362
2026-01-31,30899
2026-02-01,30336
2026-02-02,30772
2026-02-03,31193
2026-02-04,31660
2026-02-05,32225
2026-02-06,32930
2026-02-07,33790
2026-02-08,34794
2026-02-09,35903
2026-02-10,37058
2026-02-11,38191
2026-02-12,39234
2026-02-13,40131
2026-02-14,40852
2026-02-15,41392
2026-02-16,41775
2026-02-17,41715
2026-02-18,41606
2026-02-19,41514
2026-02-20,41494
2026-02-21,41581
2026-02-22,41787
2026-02-23,42097
2026-02-24,42472
2026-02-25,42858
2026-02-26,43197
2026-02-27,43439
2026-02-28,43552
2026-03-01,43528
2026-03-02,43388
2026-03-03,43176
2026-03-04,42555
2026-03-05,41992
2026-03-06,41550
2026-03-07,41274
2026-03-08,41185
2026-03-09,41275
2026-03-10,41509
2026-03-11,41830
2026-03-12,42172
2026-03-13,42469
2026-03-14,42670
2026-03-15,42742
2026-03-16,42681
2026-03-17,42511
2026-03-18,42274
2026-03-19,42757
2026-03-20,43287
2026-03-21,43909
2026-03-22,44649
2026-03-23,45507
2026-03-24,46457
2026-03-25,47449
2026-03-26,48421
2026-03-27,49309
2026-03-28,50056
2026-03-29,50628
2026-03-30,51016
2026-03-31,49760
2026-04-01,50437
2026-04-02,49579
2026-04-03,48736
2026-04-04,47972
2026-04-05,47334
2026-04-06,46848
2026-04-07,46507
2026-04-08,46282
2026-04-09,46123
2026-04-10,45972
2026-04-11,45772
2026-04-12,45482
2026-04-13,45794
2026-04-14,46001
2026-04-15,46135
2026-04-16,46248
2026-04-17,46401
2026-04-18,46654
2026-04-19,47054
2026-04-20,47625
2026-04-21,48364
2026-04-22,49241
2026-04-23,50000
2026-04-24,50775
2026-04-25,51495
2026-04-26,52100
2026-04-27,52550
2026-04-28,52830
2026-04-29,52956
2026-04-30,52966
2026-05-01,52916
2026-05-02,52868
2026-05-03,52877
2026-05-04,52981
2026-05-05,53196
2026-05-06,53510
2026-05-07,53887
2026-05-08,54287
2026-05-09,54638
2026-05-10,54883
2026-05-11,54986
2026-05-12,54932
2026-05-13,54733
2026-05-14,54431
2026-05-15,54085
2026-05-16,53764
2026-05-17,53536
2026-05-18,53454
2026-05-19,53550
2026-05-20,53824
2026-05-21,54252
2026-05-22,54391
2026-05-23,54573
2026-05-24,54735
2026-05-25,54823
2026-05-26,54803
2026-05-27,54665
2026-05-28,54427
2026-05-29,54130
2026-05-30,53827
2026-05-31,53576
2026-06-01,53428
2026-06-02,53294
2026-06-03,53297
2026-06-04,53417
2026-06-05,53606
2026-06-06,53802
2026-06-07,53936
2026-06-08,53946
2026-06-09,53788
2026-06-10,53444
2026-06-11,52922
2026-06-12,52359
2026-06-13,51711
2026-06-14,51047
2026-06-15,50429
2026-06-16,49910
2026-06-17,49519
2026-06-18,49257
2026-06-19,49101
2026-06-20,49006
2026-06-21,48916
2026-06-22,48800
