date,polygon,avalanche,ethereum,kaia,total
2025-10-21,2.68,0.89,0.89,0.0,4.46
2025-10-22,2.73,0.91,0.91,0.0,4.55
2025-10-23,2.79,0.93,0.93,0.0,4.64
2025-10-24,2.84,0.95,0.95,0.0,4.73
2025-10-25,2.89,0.96,0.96,0.0,4.82
2025-10-26,2.95,0.98,0.98,0.0,4.91
2025-10-27,3.0,1.0,1.0,0.0,5.0
2025-10-28,5.74,1.74,2.0,0.0,9.47
2025-10-29,8.47,2.47,3.0,0.0,13.95
2025-10-30,11.21,3.21,4.0,0.0,18.42
2025-10-31,13.95,3.95,5.0,0.0,22.89
2025-11-01,16.68,4.68,6.0,0.0,27.37
2025-11-02,19.42,5.42,7.0,0.0,31.84
2025-11-03,22.16,6.16,8.0,0.0,36.32
2025-11-04,24.89,6.89,9.0,0.0,40.79
2025-11-05,27.63,7.63,10.0,0.0,45.26
2025-11-06,30.37,8.37,11.0,0.0,49.74
2025-11-07,33.11,9.11,12.0,0.0,54.21
2025-11-08,35.84,9.84,13.0,0.0,58.68
2025-11-09,38.58,10.58,14.0,0.0,63.16
2025-11-10,41.32,11.32,15.0,0.0,67.63
2025-11-11,44.05,12.05,16.0,0.0,72.11
2025-11-12,46.79,12.79,17.0,0.0,76.58
2025-11-13,49.53,13.53,18.0,0.0,81.05
2025-11-14,52.26,14.26,19.0,0.0,85.53
2025-11-15,55.0,15.0,20.0,0.0,90.0
2025-11-16,58.0,15.67,21.33,0.0,95.0
2025-11-17,61.0,16.33,22.67,0.0,100.0
2025-11-18,64.0,17.0,24.0,0.0,105.0
2025-11-19,67.0,17.67,25.33,0.0,110.0
2025-11-20,70.0,18.33,26.67,0.0,115.0
2025-11-21,73.0,19.0,28.0,0.0,120.0
2025-11-22,76.0,19.67,29.33,0.0,125.0
2025-11-23,79.0,20.33,30.67,0.0,130.0
2025-11-24,82.0,21.0,32.0,0.0,135.0
2025-11-25,85.0,21.67,33.33,0.0,140.0
2025-11-26,88.0,22.33,34.67,0.0,145.0
2025-11-27,91.0,23.0,36.0,0.0,150.0
2025-11-28,94.0,23.67,37.33,0.0,155.0
2025-11-29,97.0,24.33,38.67,0.0,160.0
2025-11-30,100.0,25.0,40.0,0.0,165.0
2025-12-01,102.42,25.55,40.81,0.0,168.77
2025-12-02,104.84,26.1,41.61,0.0,172.55
2025-12-03,107.26,26.65,42.42,0.0,176.32
2025-12-04,109.68,27.19,43.23,0.0,180.1
2025-12-05,112.1,27.74,44.03,0.0,183.87
2025-12-06,114.52,28.29,44.84,0.0,187.65
2025-12-07,116.94,28.84,45.65,0.0,191.42
2025-12-08,119.35,29.39,46.45,0.0,195.19
2025-12-09,121.77,29.94,47.26,0.0,198.97
2025-12-10,124.19,30.48,48.06,0.0,202.74
2025-12-11,126.61,31.03,48.87,0.0,206.52
2025-12-12,129.03,31.58,49.68,0.0,210.29
2025-12-13,131.45,32.13,50.48,0.0,214.06
2025-12-14,133.87,32.68,51.29,0.0,217.84
2025-12-15,136.29,33.23,52.1,0.0,221.61
2025-12-16,138.71,33.77,52.9,0.0,225.39
2025-12-17,141.13,34.32,53.71,0.0,229.16
2025-12-18,143.55,34.87,54.52,0.0,232.94
2025-12-19,145.97,35.42,55.32,0.0,236.71
2025-12-20,148.39,35.97,56.13,0.0,240.48
2025-12-21,150.81,36.52,56.94,0.0,244.26
2025-12-22,153.23,37.06,57.74,0.0,248.03
2025-12-23,155.65,37.61,58.55,0.0,251.81
2025-12-24,158.06,38.16,59.35,0.0,255.58
2025-12-25,160.48,38.71,60.16,0.0,259.35
2025-12-26,162.9,39.26,60.97,0.0,263.13
2025-12-27,165.32,39.81,61.77,0.0,266.9
2025-12-28,167.74,40.35,62.58,0.0,270.68
2025-12-29,170.16,40.9,63.39,0.0,274.45
2025-12-30,172.58,41.45,64.19,0.0,278.23
2025-12-31,175.0,42.0,65.0,0.0,282.0
2026-01-01,176.77,42.42,65.65,0.0,284.84
2026-01-02,178.55,42.84,66.29,0.0,287.68
2026-01-03,180.32,43.26,66.94,0.0,290.52
2026-01-04,182.1,43.68,67.58,0.0,293.35
2026-01-05,183.87,44.1,68.23,0.0,296.19
2026-01-06,185.65,44.52,68.87,0.0,299.03
2026-01-07,187.42,44.94,69.52,0.0,301.87
2026-01-08,189.19,45.35,70.16,0.0,304.71
2026-01-09,190.97,45.77,70.81,0.0,307.55
2026-01-10,192.74,46.19,71.45,0.0,310.39
2026-01-11,194.52,46.61,72.1,0.0,313.23
2026-01-12,196.29,47.03,72.74,0.0,316.06
2026-01-13,198.06,47.45,73.39,0.0,318.9
2026-01-14,199.84,47.87,74.03,0.0,321.74
2026-01-15,201.61,48.29,74.68,0.0,324.58
2026-01-16,203.39,48.71,75.32,0.0,327.42
2026-01-17,205.16,49.13,75.97,0.0,330.26
2026-01-18,206.94,49.55,76.61,0.0,333.1
2026-01-19,208.71,49.97,77.26,0.0,335.94
2026-01-20,210.48,50.39,77.9,0.0,338.77
2026-01-21,212.26,50.81,78.55,0.0,341.61
2026-01-22,214.03,51.23,79.19,0.0,344.45
2026-01-23,215.81,51.65,79.84,0.0,347.29
2026-01-24,217.58,52.06,80.48,0.0,350.13
2026-01-25,219.35,52.48,81.13,0.0,352.97
2026-01-26,221.13,52.9,81.77,0.0,355.81
2026-01-27,222.9,53.32,82.42,0.0,358.65
2026-01-28,224.68,53.74,83.06,0.0,361.48
2026-01-29,226.45,54.16,83.71,0.0,364.32
2026-01-30,228.23,54.58,84.35,0.0,367.16
2026-01-31,230.0,55.0,85.0,0.0,370.0
2026-02-01,231.36,55.36,85.54,0.0,372.25
2026-02-02,232.71,55.71,86.07,0.0,374.5
2026-02-03,234.07,56.07,86.61,0.0,376.75
2026-02-04,235.43,56.43,87.14,0.0,379.0
2026-02-05,236.79,56.79,87.68,0.0,381.25
2026-02-06,238.14,57.14,88.21,0.0,383.5
2026-02-07,239.5,57.5,88.75,0.0,385.75
2026-02-08,240.86,57.86,89.29,0.0,388.0
2026-02-09,242.21,58.21,89.82,0.0,390.25
2026-02-10,243.57,58.57,90.36,0.0,392.5
2026-02-11,244.93,58.93,90.89,0.0,394.75
2026-02-12,246.29,59.29,91.43,0.0,397.0
2026-02-13,247.64,59.64,91.96,0.0,399.25
2026-02-14,249.0,60.0,92.5,0.0,401.5
2026-02-15,250.36,60.36,93.04,0.0,403.75
2026-02-16,251.71,60.71,93.57,0.0,406.0
2026-02-17,253.07,61.07,94.11,0.0,408.25
2026-02-18,254.43,61.43,94.64,0.0,410.5
2026-02-19,255.79,61.79,95.18,0.0,412.75
2026-02-20,257.14,62.14,95.71,0.0,415.0
2026-02-21,258.5,62.5,96.25,0.0,417.25
2026-02-22,259.86,62.86,96.79,0.0,419.5
2026-02-23,261.21,63.21,97.32,0.0,421.75
2026-02-24,262.57,63.57,97.86,0.0,424.0
2026-02-25,263.93,63.93,98.39,0.0,426.25
2026-02-26,265.29,64.29,98.93,0.0,428.5
2026-02-27,266.64,64.64,99.46,0.0,430.75
2026-02-28,268.0,65.0,100.0,0.0,433.0
2026-03-01,268.87,65.23,100.32,0.0,434.42
2026-03-02,269.74,65.45,100.65,0.0,435.84
2026-03-03,270.61,65.68,100.97,0.0,437.26
2026-03-04,271.48,65.9,101.29,0.0,438.68
2026-03-05,272.35,66.13,101.61,0.0,440.1
2026-03-06,273.23,66.35,101.94,0.0,441.52
2026-03-07,274.1,66.58,102.26,0.0,442.94
2026-03-08,274.97,66.81,102.58,0.0,444.35
2026-03-09,275.84,67.03,102.9,0.0,445.77
2026-03-10,276.71,67.26,103.23,0.0,447.19
2026-03-11,277.58,67.48,103.55,0.0,448.61
2026-03-12,278.45,67.71,103.87,0.0,450.03
2026-03-13,279.32,67.94,104.19,0.0,451.45
2026-03-14,280.19,68.16,104.52,0.0,452.87
2026-03-15,281.06,68.39,104.84,0.0,454.29
2026-03-16,281.94,68.61,105.16,0.0,455.71
2026-03-17,282.81,68.84,105.48,0.0,457.13
2026-03-18,283.68,69.06,105.81,0.0,458.55
2026-03-19,284.55,69.29,106.13,0.0,459.97
2026-03-20,285.42,69.52,106.45,0.0,461.39
2026-03-21,286.29,69.74,106.77,0.0,462.81
2026-03-22,287.16,69.97,107.1,0.0,464.23
2026-03-23,288.03,70.19,107.42,0.0,465.65
2026-03-24,288.9,70.42,107.74,0.0,467.06
2026-03-25,289.77,70.65,108.06,0.0,468.48
2026-03-26,290.65,70.87,108.39,0.0,469.9
2026-03-27,291.52,71.1,108.71,0.0,471.32
2026-03-28,292.39,71.32,109.03,0.0,472.74
2026-03-29,293.26,71.55,109.35,0.0,474.16
2026-03-30,294.13,71.77,109.68,0.0,475.58
2026-03-31,295.0,72.0,110.0,0.0,477.0
2026-04-01,295.67,72.2,110.27,0.0,478.13
2026-04-02,296.33,72.4,110.53,0.0,479.27
2026-04-03,297.0,72.6,110.8,0.0,480.4
2026-04-04,297.67,72.8,111.07,0.0,481.53
2026-04-05,298.33,73.0,111.33,0.0,482.67
2026-04-06,299.0,73.2,111.6,0.0,483.8
2026-04-07,299.67,73.4,111.87,0.0,484.93
2026-04-08,300.33,73.6,112.13,0.0,486.07
2026-04-09,301.0,73.8,112.4,0.0,487.2
2026-04-10,301.67,74.0,112.67,0.0,488.33
2026-04-11,302.33,74.2,112.93,0.0,489.47
2026-04-12,303.0,74.4,113.2,0.0,490.6
2026-04-13,303.67,74.6,113.47,0.0,491.73
2026-04-14,304.33,74.8,113.73,0.0,492.87
2026-04-15,305.0,75.0,114.0,0.0,494.0
2026-04-16,305.67,75.2,114.27,0.0,495.13
2026-04-17,306.33,75.4,114.53,0.0,496.27
2026-04-18,307.0,75.6,114.8,0.0,497.4
2026-04-19,307.67,75.8,115.07,0.0,498.53
2026-04-20,308.33,76.0,115.33,0.0,499.67
2026-04-21,309.0,76.2,115.6,0.0,500.8
2026-04-22,309.67,76.4,115.87,0.0,501.93
2026-04-23,310.33,76.6,116.13,0.0,503.07
2026-04-24,311.0,76.8,116.4,0.0,504.2
2026-04-25,311.67,77.0,116.67,0.0,505.33
2026-04-26,312.33,77.2,116.93,0.0,506.47
2026-04-27,313.0,77.4,117.2,0.0,507.6
2026-04-28,313.67,77.6,117.47,0.0,508.73
2026-04-29,314.33,77.8,117.73,0.0,509.87
2026-04-30,315.0,78.0,118.0,0.0,511.0
2026-05-01,315.65,78.16,118.16,0.0,511.97
2026-05-02,316.29,78.32,118.32,0.0,512.94
2026-05-03,316.94,78.48,118.48,0.0,513.9
2026-05-04,317.58,78.65,118.65,0.0,514.87
2026-05-05,318.23,78.81,118.81,0.0,515.84
2026-05-06,318.87,78.97,118.97,0.0,516.81
2026-05-07,319.52,79.13,119.13,0.0,517.77
2026-05-08,320.16,79.29,119.29,0.0,518.74
2026-05-09,320.81,79.45,119.45,0.0,519.71
2026-05-10,321.45,79.61,119.61,0.0,520.68
2026-05-11,322.1,79.77,119.77,0.0,521.65
2026-05-12,322.74,79.94,119.94,0.0,522.61
2026-05-13,323.39,80.1,120.1,0.0,523.58
2026-05-14,324.03,80.26,120.26,0.0,524.55
2026-05-15,324.68,80.42,120.42,0.0,525.52
2026-05-16,325.32,80.58,120.58,0.0,526.48
2026-05-17,325.97,80.74,120.74,0.0,527.45
2026-05-18,326.61,80.9,120.9,0.0,528.42
2026-05-19,327.26,81.06,121.06,0.0,529.39
2026-05-20,327.9,81.23,121.23,0.0,530.35
2026-05-21,328.55,81.39,121.39,0.0,531.32
2026-05-22,329.19,81.55,121.55,0.0,532.29
2026-05-23,329.84,81.71,121.71,0.0,533.26
2026-05-24,330.48,81.87,121.87,0.0,534.23
2026-05-25,331.13,82.03,122.03,0.0,535.19
2026-05-26,331.77,82.19,122.19,0.0,536.16
2026-05-27,332.42,82.35,122.35,0.0,537.13
2026-05-28,333.06,82.52,122.52,0.0,538.1
2026-05-29,333.71,82.68,122.68,0.0,539.06
2026-05-30,334.35,82.84,122.84,0.0,540.03
2026-05-31,335.0,83.0,123.0,0.0,541.0
2026-06-01,335.33,83.13,123.13,0.0,541.6
2026-06-02,335.67,83.27,123.27,0.0,542.2
2026-06-03,336.0,83.4,123.4,0.0,542.8
2026-06-04,336.33,83.53,123.53,0.0,543.4
2026-06-05,336.67,83.67,123.67,0.0,544.0
2026-06-06,337.0,83.8,123.8,0.0,544.6
2026-06-07,337.33,83.93,123.93,30.0,575.2
2026-06-08,337.67,84.07,124.07,60.0,605.8
2026-06-09,338.0,84.2,124.2,105.0,651.4
2026-06-10,338.33,84.33,124.33,150.0,697.0
2026-06-11,338.67,84.47,124.47,182.5,730.1
2026-06-12,339.0,84.6,124.6,215.0,763.2
2026-06-13,339.33,84.73,124.73,231.5,780.3
2026-06-14,339.67,84.87,124.87,248.0,797.4
2026-06-15,340.0,85.0,125.0,255.0,805.0
